1600
394,1012,10
635,1360,6
219,1157,4
244,376,4
1000,1255,4
687,798,2
516,1573,2
1008,1100,9
274,701,10
755,1078,6
188,1444,7
861,1526,9
756,1463,5
419,1351,4
75,1354,7
949,1153,10
973,1309,10
704,1506,6
222,1448,7
409,507,1
468,1244,4
113,589,8
442,989,5
791,1256,8
611,824,9
54,1420,9
489,1574,9
46,240,8
524,856,3
523,1037,3
655,959,4
513,671,10
531,1396,8
117,252,2
968,1338,5
540,1115,1
991,1184,5
135,1004,1
343,983,9
239,636,9
987,1522,4
287,1271,9
342,1168,10
238,777,4
260,546,10
1378,1575,8
995,1050,5
338,1497,3
651,1180,4
636,1319,5
461,1058,3
1233,1304,6
493,1540,3
19,1453,2
1097,1340,4
1141,1512,7
1524,1569,3
101,922,10
213,456,7
288,784,2
735,1184,1
360,444,1
158,341,10
22,1349,9
1152,1161,6
981,1451,8
1326,1401,7
1284,1380,8
426,1087,5
532,993,6
752,838,9
18,83,9
413,628,2
625,1115,4
245,378,7
562,674,10
1344,1540,7
36,471,9
430,1003,3
147,1594,9
213,874,6
66,227,5
232,571,2
70,204,9
1177,1321,1
364,1407,6
302,549,5
153,375,9
619,871,10
1483,1580,5
231,1279,5
309,1406,6
286,650,2
201,1462,8
14,1250,3
932,1464,6
1085,1389,9
703,1254,8
803,1130,10
763,1411,9
8,918,5
190,780,4
909,1160,10
58,62,2
420,1555,3
63,1409,1
664,1404,2
76,281,4
765,1066,7
39,1108,10
1009,1454,8
369,741,6
104,166,5
78,1153,3
585,972,5
291,982,4
597,925,10
343,1152,6
588,1520,1
1204,1538,2
792,819,9
194,611,2
999,1518,8
937,1578,4
96,162,6
212,1125,1
253,1059,9
425,682,3
281,1003,6
130,1402,2
14,706,1
89,252,10
279,1465,6
4,1072,10
296,317,2
1335,1512,2
1055,1360,7
488,594,1
897,1123,10
276,394,7
151,840,9
84,797,8
223,1461,10
91,1324,7
1233,1329,5
129,804,3
558,768,9
531,1062,1
672,808,4
542,1300,7
775,881,4
1204,1353,4
570,1227,4
918,1559,6
495,1006,4
150,257,3
432,621,7
791,1335,5
573,914,5
270,1546,7
191,296,2
221,660,10
381,394,1
169,1427,9
77,959,9
127,1244,1
519,1592,3
150,543,10
84,1299,5
107,460,3
231,993,9
38,1189,7
6,1381,3
87,960,7
205,635,4
991,1413,8
280,709,2
433,1563,2
488,1149,2
718,1600,9
125,1283,2
114,1184,3
567,1097,8
694,1438,10
408,1382,1
156,1534,8
909,945,7
297,1234,2
605,807,4
830,1582,5
94,337,3
379,1386,5
1113,1493,4
977,1105,6
533,1551,5
372,1081,9
831,1592,6
906,1436,4
1051,1080,5
355,1315,7
152,1414,3
778,852,8
959,1035,3
1174,1378,6
480,586,7
265,435,5
64,452,8
311,1415,7
969,1575,1
942,1067,5
1286,1448,6
547,851,3
532,1144,8
289,1449,2
838,1120,6
271,505,4
517,1334,4
1052,1268,8
670,919,1
1256,1270,5
930,1007,5
865,1469,4
302,453,6
5,1278,3
1274,1558,8
115,1053,9
171,1315,3
767,1113,6
964,1251,5
221,696,3
103,1495,6
673,1563,1
425,1491,7
160,1448,3
655,1144,10
1350,1560,3
18,1256,1
822,984,3
784,1178,2
1146,1316,10
9,1594,9
173,1530,8
595,1070,5
560,1248,9
1171,1251,3
188,496,2
181,185,1
663,837,9
839,863,8
1077,1577,8
266,404,5
54,794,3
882,1536,2
231,714,8
175,264,6
842,1130,2
417,876,2
447,808,3
1232,1293,4
163,1176,4
92,330,1
212,1210,10
812,919,6
1021,1511,9
1096,1567,2
828,1350,6
780,881,3
1043,1339,3
1101,1401,8
210,868,2
586,854,9
606,1182,3
408,1516,5
363,962,4
427,1519,3
330,667,9
388,621,5
384,1295,10
747,1381,8
17,1464,5
820,1288,8
84,183,9
322,1345,9
638,853,6
1005,1165,6
535,655,1
660,1346,9
1495,1536,3
1079,1314,6
869,1337,1
1354,1457,2
40,1483,3
1513,1517,10
383,1255,5
430,1448,2
819,961,10
378,416,4
770,1434,6
365,829,2
646,1335,1
257,1363,4
138,707,5
46,288,10
355,769,8
111,824,4
250,580,8
503,1279,8
244,1277,8
459,1412,8
270,1171,3
130,845,7
967,1077,8
212,1549,3
269,519,8
767,1233,10
159,879,6
851,922,1
912,920,2
129,440,3
162,1561,9
886,1348,9
578,1493,8
1022,1435,7
793,1596,5
344,601,7
889,1394,3
1341,1435,1
222,792,7
88,1081,7
59,1527,4
38,236,2
536,962,4
486,1495,9
1050,1289,6
506,785,9
655,1478,5
463,1049,3
1017,1248,3
470,1227,6
223,642,4
221,1377,4
1250,1379,10
1002,1450,2
243,589,3
1469,1479,9
559,724,5
491,781,7
332,485,9
103,879,2
251,1014,10
511,644,2
684,1349,7
175,432,2
203,1382,9
28,828,9
1274,1309,2
374,445,3
1311,1403,9
138,313,8
288,1310,1
745,775,6
1098,1332,1
454,872,9
847,1124,8
2,326,7
1193,1229,5
45,282,3
591,931,2
610,1067,8
440,480,9
843,1338,6
1539,1600,2
1271,1509,8
648,1158,4
825,1536,9
599,1198,6
994,1429,10
582,1282,4
316,949,5
406,1293,3
65,407,8
529,1196,3
1090,1284,6
730,1471,9
342,961,8
509,1099,9
511,1557,6
423,1284,3
762,956,8
224,1282,7
291,314,6
28,69,10
1095,1306,2
276,820,3
159,1018,8
63,416,9
805,1296,7
639,1453,7
957,1454,3
95,1335,6
53,315,9
107,1577,4
309,1181,6
301,1575,4
1053,1438,9
111,333,1
1,1513,4
796,1594,3
1077,1504,8
651,891,10
373,937,4
1309,1313,8
1480,1501,2
37,953,2
283,316,7
683,1235,4
175,666,6
981,1529,2
975,1361,1
73,854,1
509,518,2
145,1255,3
559,1128,9
379,1406,7
376,614,8
50,256,4
1084,1092,9
96,1107,2
177,570,2
211,854,1
9,152,9
70,1208,8
232,1301,9
17,980,6
315,802,4
129,752,4
853,1344,2
458,1258,7
421,1023,8
54,230,5
97,467,9
754,863,5
995,1332,8
453,496,6
564,783,7
887,1334,8
620,1154,7
119,522,7
298,586,3
77,270,5
1056,1440,1
670,770,9
881,1068,7
155,261,7
763,1404,5
108,1118,1
965,1490,2
1147,1341,1
479,758,3
652,1145,1
572,688,2
999,1335,3
182,1254,10
