Vertex1,Vertex2,Weight
234,357,1
344,364,1
265,286,1
216,235,1
83,243,1
26,346,1
41,109,1
16,339,1
203,262,1
166,263,1
136,259,1
29,329,1
172,269,1
26,269,1
27,249,1
55,392,1
6,150,1
40,241,1
193,377,1
330,398,1
69,334,1
139,193,1
226,313,1
92,244,1
4,281,1
182,347,1
231,366,1
86,120,1
37,93,1
37,312,1
261,351,1
22,218,1
99,156,1
2,99,1
104,329,1
180,341,1
161,181,1
212,383,1
218,394,1
128,151,1
28,89,1
302,398,1
119,251,1
102,325,1
182,373,1
130,131,1
12,383,1
123,152,1
193,285,1
292,318,1
207,347,1
70,121,1
179,359,1
90,126,1
54,323,1
88,268,1
55,223,1
72,344,1
271,372,1
143,347,1
143,287,1
130,163,1
149,372,1
252,348,1
207,253,1
188,302,1
307,322,1
175,371,1
189,322,1
139,194,1
186,193,1
111,122,1
37,200,1
168,312,1
193,293,1
192,384,1
20,252,1
150,241,1
95,274,1
47,69,1
123,306,1
194,223,1
89,274,1
64,111,1
286,361,1
99,110,1
162,384,1
176,307,1
3,303,1
29,251,1
197,329,1
115,286,1
139,314,1
218,291,1
215,353,1
101,372,1
231,304,1
135,196,1
163,169,1
91,164,1
9,372,1
294,362,1
6,305,1
162,245,1
163,246,1
70,160,1
312,328,1
27,308,1
163,376,1
233,357,1
202,260,1
172,286,1
307,375,1
19,225,1
60,270,2
46,91,2
107,191,2
63,370,2
5,188,2
63,103,2
2,213,2
31,385,2
113,174,2
204,382,2
281,319,2
50,112,2
274,283,2
18,306,2
251,362,2
5,291,2
245,352,2
33,384,2
151,182,2
133,337,2
41,341,2
65,220,2
292,316,2
239,311,2
164,263,2
197,393,2
214,329,2
190,396,2
8,118,2
5,333,2
60,350,2
215,320,2
120,371,2
277,399,2
39,183,2
191,226,2
308,364,2
357,400,2
28,397,2
79,350,2
223,296,2
176,283,2
194,227,2
87,191,2
214,387,2
186,301,2
28,142,2
221,232,2
82,246,2
101,390,2
34,385,2
139,355,2
167,254,2
13,154,2
359,384,2
74,367,2
204,252,2
294,313,2
11,258,2
58,344,2
98,212,2
93,236,2
295,364,2
79,368,2
204,324,2
65,210,2
138,157,2
94,252,2
21,208,2
87,320,2
81,322,2
219,328,2
274,386,2
21,274,2
71,367,2
51,78,2
8,157,2
26,91,2
58,213,2
80,330,2
124,150,2
6,122,2
298,339,2
230,392,2
77,180,2
143,240,2
68,389,2
337,392,2
279,372,2
148,223,2
45,128,2
269,292,2
138,384,2
144,237,2
16,279,2
351,396,2
20,283,2
34,267,2
209,322,2
21,71,2
75,247,2
46,268,2
50,304,2
13,274,2
119,389,2
2,190,2
63,90,2
29,132,2
5,132,2
6,233,2
257,343,2
230,232,2
87,335,3
315,363,3
108,300,3
295,373,3
152,225,3
115,352,3
166,366,3
9,367,3
45,241,3
118,212,3
353,363,3
127,381,3
25,381,3
76,165,3
182,380,3
186,386,3
180,208,3
135,324,3
201,288,3
39,360,3
339,353,3
105,330,3
197,365,3
12,242,3
17,162,3
349,370,3
106,114,3
165,241,3
299,356,3
219,285,3
306,350,3
264,271,3
262,312,3
114,228,3
183,186,3
249,390,3
42,276,3
230,359,3
85,218,3
22,173,3
18,141,3
297,312,3
45,113,3
166,276,3
1,254,3
34,340,3
376,397,3
96,352,3
300,349,3
100,196,3
70,382,3
221,243,3
52,298,3
117,294,3
217,222,3
177,278,3
142,170,3
89,336,3
44,305,3
21,256,3
280,392,3
186,229,3
96,356,3
49,190,3
34,142,3
28,250,3
25,181,3
17,86,3
238,355,3
139,284,3
211,337,3
64,90,3
275,379,3
35,156,3
199,231,3
179,206,3
51,397,3
244,286,3
114,336,3
22,235,3
178,347,3
66,304,4
26,30,4
79,245,4
10,369,4
171,222,4
140,382,4
197,273,4
171,213,4
69,112,4
1,52,4
184,203,4
152,369,4
103,145,4
257,263,4
47,326,4
25,320,4
33,239,4
59,124,4
80,309,4
109,224,4
87,303,4
12,102,4
38,148,4
199,278,4
184,358,4
282,304,4
54,185,4
249,255,4
288,301,4
32,236,4
323,356,4
94,321,4
33,338,4
86,266,4
247,306,4
129,335,4
11,222,4
34,399,4
15,148,4
220,398,4
198,369,4
61,356,4
155,188,4
102,317,4
85,289,4
67,127,4
67,260,5
144,365,5
57,217,5
142,205,5
228,345,5
156,374,5
24,306,5
25,146,5
248,310,5
56,103,5
36,378,5
27,159,5
116,272,5
259,318,5
7,175,5
137,215,5
153,175,5
73,226,5
286,391,6
302,327,6
169,388,6
197,310,6
48,367,6
158,381,6
20,275,6
39,290,6
23,100,6
256,272,6
218,378,6
116,195,6
14,63,6
187,288,6
194,395,7
53,233,7
4,142,7
43,219,7
84,306,7
342,362,8
181,332,8
97,282,8
108,134,8
125,281,8
331,351,9
147,337,9
96,354,10
62,90,10
