Vertex1,Vertex2,Weight
60,2,2
16,3,7
95,4,1
33,5,9
14,6,4
97,7,4
77,8,2
96,9,4
13,10,6
98,11,1
52,12,4
18,13,3
1,14,6
42,15,1
25,16,7
70,17,3
93,18,1
9,19,4
9,20,4
79,21,4
90,22,3
78,23,2
7,24,7
62,25,1
56,26,6
60,27,4
44,28,1
49,29,6
83,30,4
86,31,6
98,32,4
78,33,6
70,34,9
19,35,2
52,36,10
14,37,2
26,38,4
83,39,3
77,40,3
32,41,5
16,42,3
14,43,3
46,44,5
6,45,1
9,46,1
61,47,5
88,48,9
37,49,2
45,50,7
22,51,4
28,52,6
33,53,10
59,54,5
20,55,10
96,56,4
8,57,6
90,58,6
91,59,3
46,60,2
23,61,4
31,62,4
27,63,3
60,64,2
19,65,7
34,66,9
7,67,7
47,68,4
92,69,6
30,70,3
64,71,3
56,72,2
66,73,1
81,74,3
14,75,2
91,76,3
39,77,1
8,78,1
92,79,1
59,80,6
38,81,6
61,82,2
6,83,3
53,84,5
80,85,2
10,86,3
11,87,7
19,88,5
14,89,4
7,90,1
79,91,2
88,92,4
76,93,4
65,94,2
35,95,7
39,96,3
23,97,1
78,98,3
33,99,1
72,100,3
