Vertex1,Vertex2,Weight
213,2,3
238,3,3
142,4,6
333,5,2
305,6,1
272,7,2
393,8,6
300,9,2
46,10,2
178,11,3
242,12,2
263,13,1
63,14,7
215,15,3
283,16,3
226,17,1
271,18,2
225,19,7
226,20,3
46,21,2
218,22,2
318,23,5
124,24,9
181,25,2
269,26,3
249,27,1
215,28,2
18,29,1
278,30,1
362,31,1
236,32,4
219,33,3
161,34,1
177,35,6
1,36,5
312,37,4
352,38,2
290,39,5
236,40,1
86,41,1
226,42,2
144,43,3
305,44,3
21,45,2
157,46,2
176,47,1
367,48,5
34,49,3
75,50,2
397,51,4
1,52,4
233,53,3
301,54,2
113,55,1
103,56,7
283,57,3
344,58,2
124,59,1
397,60,3
356,61,3
90,62,4
370,63,1
389,64,3
161,65,1
94,66,5
33,67,3
157,68,2
392,69,2
32,70,3
283,71,2
330,72,1
226,73,2
72,74,4
277,75,2
330,76,1
367,77,2
317,78,3
245,79,2
178,80,1
215,81,1
302,82,5
248,83,2
298,84,3
289,85,1
251,86,1
335,87,2
178,88,3
132,89,3
260,90,1
26,91,3
244,92,8
230,93,2
362,94,4
274,95,3
86,96,2
287,97,5
212,98,1
2,99,1
132,100,2
372,101,2
155,102,2
63,103,3
54,104,6
330,105,1
37,106,1
393,107,4
231,108,2
236,109,2
148,110,1
271,111,2
69,112,7
45,113,1
293,114,3
352,115,2
195,116,4
294,117,8
143,118,1
220,119,1
86,120,2
182,121,1
20,122,3
282,123,3
373,124,2
281,125,3
105,126,1
67,127,1
21,128,2
81,129,4
397,130,1
130,131,4
286,132,3
153,133,4
334,134,5
121,135,1
299,136,2
152,137,1
315,138,2
355,139,1
246,140,2
94,141,3
28,142,8
347,143,1
93,144,1
103,145,2
25,146,5
337,147,8
74,148,1
182,149,2
151,150,1
128,151,2
45,152,1
174,153,3
222,154,1
16,155,3
71,156,2
135,157,1
237,158,2
269,159,4
389,160,1
181,161,2
280,162,3
366,163,3
289,164,2
367,165,3
111,166,1
32,167,2
166,168,1
93,169,3
229,170,4
324,171,1
269,172,2
360,173,3
243,174,1
371,175,1
201,176,3
278,177,2
385,178,1
359,179,4
266,180,2
28,181,2
298,182,4
45,183,4
298,184,1
54,185,1
229,186,2
324,187,2
5,188,3
113,189,3
396,190,2
81,191,5
280,192,2
137,193,2
59,194,4
128,195,1
9,196,5
311,197,1
160,198,1
340,199,1
111,200,4
161,201,1
140,202,5
369,203,3
324,204,7
142,205,7
179,206,4
7,207,4
21,208,2
389,209,5
219,210,1
188,211,5
118,212,2
160,213,2
44,214,6
137,215,1
365,216,1
238,217,2
85,218,1
328,219,1
171,220,1
299,221,3
333,222,3
357,223,3
349,224,4
229,225,3
231,226,1
121,227,1
92,228,5
290,229,2
232,230,2
366,231,2
220,232,1
357,233,2
396,234,3
22,235,6
93,236,1
396,237,2
355,238,1
311,239,2
260,240,4
150,241,2
164,242,1
221,243,1
286,244,2
352,245,1
163,246,2
306,247,5
230,248,2
255,249,4
28,250,5
178,251,1
204,252,5
271,253,5
157,254,4
311,255,3
21,256,5
86,257,4
11,258,1
318,259,1
185,260,3
385,261,2
213,262,3
164,263,2
353,264,1
286,265,3
86,266,1
197,267,3
320,268,3
25,269,1
60,270,3
149,271,2
120,272,2
258,273,3
13,274,2
20,275,2
341,276,3
293,277,2
145,278,1
16,279,2
392,280,3
14,281,4
304,282,2
176,283,1
139,284,4
219,285,3
172,286,1
103,287,8
178,288,2
80,289,2
269,290,1
10,291,3
316,292,4
124,293,3
369,294,1
364,295,1
80,296,3
373,297,1
52,298,4
356,299,1
108,300,2
288,301,3
71,302,3
87,303,4
182,304,3
3,305,3
123,306,3
176,307,1
223,308,3
222,309,4
197,310,1
137,311,2
168,312,1
283,313,2
231,314,2
363,315,1
397,316,5
102,317,4
279,318,2
281,319,2
398,320,2
293,321,2
209,322,4
54,323,4
328,324,1
275,325,4
393,326,3
302,327,2
398,328,1
29,329,3
398,330,2
351,331,6
181,332,4
73,333,1
312,334,3
2,335,3
114,336,4
392,337,6
5,338,2
16,339,2
352,340,1
180,341,5
111,342,3
99,343,1
370,344,2
155,345,6
277,346,5
182,347,3
326,348,1
300,349,1
79,350,1
52,351,4
55,352,1
215,353,3
96,354,1
218,355,2
18,356,2
33,357,3
184,358,3
231,359,1
397,360,3
256,361,5
342,362,3
119,363,3
344,364,2
197,365,1
286,366,1
283,367,3
131,368,2
152,369,3
349,370,1
139,371,1
399,372,1
340,373,2
340,374,2
307,375,3
163,376,4
161,377,2
36,378,3
64,379,2
182,380,3
25,381,4
140,382,4
212,383,1
33,384,4
34,385,2
166,386,5
222,387,1
159,388,2
68,389,1
249,390,4
54,391,1
55,392,2
324,393,1
124,394,4
393,395,1
127,396,2
172,397,3
372,398,1
34,399,1
357,400,7
