Vertex1,Vertex2,Weight
83,409,1
103,626,1
757,770,1
220,786,1
157,522,1
562,715,1
73,530,1
115,564,1
106,213,1
10,420,1
422,638,1
461,758,1
260,800,1
678,693,1
185,639,1
508,642,1
432,652,1
491,617,1
200,673,1
40,386,1
532,700,1
384,627,1
240,685,1
11,365,1
362,426,1
185,302,1
115,486,1
218,219,1
115,462,1
180,684,1
387,729,1
23,549,1
22,73,1
309,513,1
278,702,1
113,354,1
94,153,1
312,418,1
65,535,1
288,376,1
388,669,1
236,306,1
598,735,1
311,363,1
348,358,1
81,591,1
116,759,1
1,290,1
82,749,1
266,786,1
266,740,1
389,752,1
261,268,1
578,738,1
79,753,1
602,792,1
85,556,1
480,773,1
516,599,1
283,441,1
580,617,1
588,647,1
215,665,1
165,395,1
500,616,1
294,472,1
117,171,1
262,603,1
255,501,1
182,565,1
523,714,1
71,388,1
363,793,1
190,335,1
331,665,1
19,94,1
538,631,1
42,275,1
266,655,1
130,613,1
106,432,1
134,613,1
339,507,1
158,413,1
122,447,1
482,666,1
265,477,1
305,413,1
391,591,1
44,707,1
90,737,1
85,763,1
630,687,1
133,196,1
506,611,1
307,377,1
403,570,1
21,657,1
282,527,1
509,641,1
426,740,1
69,499,1
418,606,1
388,508,1
6,273,1
578,657,1
305,616,1
59,290,1
432,742,1
356,445,1
351,485,1
237,709,1
130,530,1
620,703,1
240,736,1
498,555,1
339,729,1
241,470,1
107,647,1
170,637,1
172,191,1
119,544,1
470,774,1
285,524,1
303,655,1
47,468,1
6,707,1
372,395,1
98,262,1
189,791,1
43,469,1
257,436,1
489,660,1
370,747,1
53,497,1
28,753,1
714,774,1
8,358,1
564,645,1
3,754,1
227,528,1
340,416,1
18,284,1
368,405,1
198,373,1
66,276,1
182,593,1
404,423,1
644,779,1
251,730,1
62,109,1
3,525,1
560,749,1
20,765,1
265,533,1
21,758,1
103,344,1
491,621,1
247,296,1
328,425,1
58,364,1
331,462,1
294,560,1
234,242,1
110,570,1
9,262,1
471,768,1
218,731,1
603,762,1
147,674,1
31,43,1
465,580,1
726,747,1
678,750,1
263,479,1
188,235,1
543,729,1
126,223,1
133,243,1
464,497,1
516,670,1
438,635,1
601,794,1
174,799,1
178,490,1
300,470,1
117,773,1
181,690,1
350,461,1
95,637,1
208,661,1
224,339,1
135,421,1
555,689,1
519,790,1
554,586,1
31,92,1
92,766,1
342,482,1
136,447,1
37,575,1
250,253,1
650,708,1
161,384,1
408,430,1
522,712,1
319,571,1
440,617,1
570,791,1
359,399,1
40,283,1
141,555,1
1,572,1
550,689,1
18,294,1
660,711,1
540,644,1
507,693,1
425,705,1
113,784,1
238,637,1
1,349,1
245,750,1
327,700,1
414,615,1
39,332,1
30,570,1
69,323,1
242,545,1
383,560,1
401,719,1
136,137,1
548,764,1
407,445,1
215,310,1
346,698,1
187,550,1
307,734,1
160,215,1
686,772,1
88,652,1
546,730,1
136,165,1
10,747,1
736,777,1
202,325,1
156,669,1
483,651,1
29,369,1
513,736,1
4,503,1
165,462,1
425,542,1
366,703,1
380,587,1
166,677,1
229,657,1
293,406,1
93,311,1
283,470,1
190,617,1
53,351,1
116,726,1
147,419,1
297,556,1
420,588,1
319,708,1
186,660,1
77,107,1
516,771,1
46,340,1
143,677,1
196,406,1
629,678,1
31,210,1
285,795,1
254,700,1
394,704,1
149,553,1
88,677,1
229,333,1
259,323,1
641,736,1
300,358,1
167,517,1
690,723,1
522,782,1
714,747,1
189,422,1
362,594,1
133,641,1
235,291,1
632,724,1
293,423,1
517,788,1
101,509,1
446,700,1
35,256,1
433,451,1
235,775,1
494,569,1
319,517,1
700,717,1
205,240,1
660,762,1
139,779,1
216,255,1
215,339,1
71,601,1
665,715,1
421,567,1
436,699,1
266,553,1
443,470,1
116,307,1
253,284,1
70,632,1
152,298,1
458,564,1
383,684,1
344,680,1
250,393,1
421,520,1
347,417,1
314,526,1
16,236,1
60,246,1
97,352,1
105,714,1
147,254,1
297,357,1
180,474,1
406,524,1
500,747,1
250,522,1
45,593,1
105,544,1
130,214,1
143,328,1
227,521,1
61,87,1
574,698,1
745,783,1
342,729,2
171,633,2
272,653,2
100,277,2
365,715,2
287,608,2
2,202,2
611,747,2
272,301,2
454,775,2
280,724,2
349,704,2
88,784,2
621,798,2
3,631,2
231,447,2
36,439,2
422,773,2
299,344,2
102,543,2
249,784,2
341,361,2
447,585,2
215,412,2
717,734,2
92,510,2
259,405,2
432,547,2
74,568,2
108,308,2
365,385,2
526,595,2
49,530,2
75,540,2
302,726,2
99,580,2
365,569,2
153,749,2
193,515,2
198,229,2
117,499,2
135,384,2
499,559,2
35,348,2
204,565,2
481,773,2
134,420,2
137,471,2
280,479,2
27,647,2
20,700,2
87,556,2
51,188,2
562,625,2
415,790,2
474,615,2
613,641,2
223,627,2
82,688,2
127,307,2
209,414,2
535,621,2
659,660,2
51,545,2
1,249,2
200,718,2
357,774,2
623,671,2
9,228,2
322,639,2
145,705,2
58,498,2
57,200,2
482,659,2
503,710,2
233,571,2
39,675,2
4,119,2
480,487,2
97,776,2
429,660,2
313,618,2
40,106,2
244,542,2
103,146,2
258,541,2
219,341,2
110,653,2
59,519,2
300,675,2
453,714,2
175,788,2
418,543,2
67,404,2
367,663,2
328,680,2
362,728,2
361,584,2
208,305,2
474,679,2
324,714,2
10,98,2
655,711,2
284,310,2
50,227,2
324,744,2
230,387,2
104,437,2
278,625,2
92,143,2
229,404,2
2,762,2
120,612,2
590,725,2
36,241,2
287,334,2
474,741,2
16,577,2
453,630,2
375,709,2
288,730,2
131,636,2
162,631,2
437,741,2
260,791,2
534,644,2
432,433,2
401,452,2
194,286,2
62,355,2
319,364,2
150,334,2
113,421,2
142,746,2
152,161,2
204,431,2
140,249,2
578,737,2
179,218,2
361,543,2
129,225,2
4,272,2
92,488,2
23,598,2
144,567,2
113,398,2
67,601,2
624,677,2
29,264,2
172,326,2
198,746,2
484,582,2
734,793,2
69,182,2
270,763,2
131,581,2
300,343,2
154,213,2
275,416,2
139,672,2
625,676,2
292,793,2
361,622,2
167,780,2
83,286,2
96,139,2
234,405,2
581,633,2
351,424,2
537,757,2
301,548,2
567,664,2
6,559,2
56,507,2
47,147,2
258,727,2
149,709,2
355,446,2
608,793,2
6,389,2
41,497,2
177,596,2
635,786,2
267,422,2
148,641,2
255,394,2
246,547,2
26,164,2
14,502,2
275,448,2
490,772,2
169,765,2
598,663,2
261,703,2
376,480,2
352,475,2
227,399,2
311,596,2
83,347,2
48,610,2
274,378,2
463,515,2
194,693,2
72,411,2
54,642,2
318,785,2
572,796,2
144,493,2
348,753,2
497,672,2
155,455,2
697,790,2
66,630,2
52,417,2
501,681,2
428,746,2
241,549,2
668,688,2
345,486,2
131,427,2
198,706,2
168,764,2
159,477,2
527,673,2
462,475,2
371,595,2
58,222,2
590,704,2
7,62,2
312,644,2
524,539,2
580,668,2
388,568,2
586,765,2
46,243,2
199,701,2
91,639,2
138,383,2
201,724,2
105,739,2
223,247,2
391,588,2
482,582,2
114,689,2
350,733,2
280,317,2
378,767,2
390,766,2
37,597,2
127,476,2
397,739,2
345,727,2
175,601,2
275,374,2
203,733,2
210,667,2
54,316,2
372,605,2
7,459,2
190,769,2
723,733,3
184,654,3
232,744,3
502,609,3
185,683,3
583,653,3
616,719,3
263,416,3
643,719,3
335,604,3
170,794,3
304,364,3
346,751,3
40,587,3
536,598,3
315,583,3
716,756,3
364,651,3
119,289,3
521,597,3
279,688,3
571,595,3
37,697,3
247,745,3
4,787,3
86,596,3
176,588,3
315,378,3
280,552,3
93,281,3
186,649,3
318,379,3
23,698,3
67,529,3
264,408,3
168,648,3
142,430,3
207,473,3
236,743,3
548,703,3
131,631,3
516,517,3
295,550,3
219,699,3
159,742,3
192,719,3
281,478,3
70,557,3
222,628,3
659,692,3
336,366,3
193,292,3
551,702,3
221,411,3
313,698,3
781,784,3
399,732,3
191,578,3
41,199,3
772,782,3
171,407,3
13,179,3
550,579,3
141,396,3
393,755,3
84,110,3
532,743,3
14,480,3
24,274,3
86,410,3
495,583,3
375,518,3
623,762,3
377,757,3
3,449,3
64,600,3
346,662,3
198,748,3
239,393,3
195,708,3
211,426,3
64,70,3
281,716,3
167,207,3
315,457,3
330,616,3
370,505,3
89,242,3
197,300,3
467,738,3
615,654,3
504,621,3
221,491,3
277,284,3
318,458,3
132,146,3
417,797,3
235,573,3
236,527,3
672,695,3
33,137,3
37,646,3
120,182,3
32,599,3
154,514,3
456,502,3
123,726,3
381,520,3
402,711,3
199,466,3
240,614,3
182,450,3
563,654,3
20,682,3
60,271,3
166,694,3
400,702,3
435,493,3
112,688,4
461,799,4
107,212,4
164,306,4
25,102,4
223,455,4
597,761,4
360,433,4
129,473,4
