Vertex1,Vertex2,Weight
124,196,1
40,114,1
111,125,1
22,40,1
84,196,1
109,141,1
11,106,1
9,79,1
30,37,1
27,90,1
68,106,1
2,122,1
1,59,1
38,70,1
180,181,1
154,183,1
54,66,1
123,125,1
20,153,1
60,86,1
48,74,1
44,62,1
73,98,1
180,182,1
110,174,1
22,126,1
155,195,1
4,120,1
48,52,1
95,128,1
56,163,2
10,167,2
57,84,2
28,80,2
45,191,2
40,194,2
142,195,2
104,132,2
5,75,2
110,193,2
66,185,2
137,162,2
92,184,2
99,119,2
30,31,2
79,93,2
66,175,2
71,153,2
48,53,2
10,24,2
75,133,2
77,141,2
85,106,2
48,162,2
90,94,2
12,164,2
28,124,2
92,167,2
128,159,2
67,142,2
50,176,3
51,112,3
26,86,3
90,151,3
2,70,3
26,165,3
110,148,3
23,62,3
103,169,3
101,182,3
27,75,3
31,167,3
67,172,3
87,140,3
54,121,3
6,99,3
116,168,3
98,103,3
173,184,3
69,161,3
102,123,3
60,119,3
35,75,3
31,142,3
61,70,3
88,191,3
48,98,3
154,159,4
140,199,4
149,175,4
7,9,4
1,186,4
13,159,4
129,199,4
51,172,4
27,114,4
8,122,4
69,168,4
84,146,4
22,61,4
107,123,4
157,197,4
35,57,4
23,166,4
68,92,4
18,176,4
121,170,4
58,193,4
15,114,4
7,162,4
45,135,4
105,131,4
136,179,4
134,138,4
36,83,4
112,194,4
42,100,5
36,146,5
3,165,5
4,165,5
51,56,5
25,145,5
20,163,5
102,174,5
11,52,5
46,160,5
54,90,5
98,102,5
39,137,5
1,89,5
82,199,5
65,199,5
23,152,5
61,131,5
72,87,5
106,176,5
16,194,5
64,109,5
96,165,5
156,161,5
9,116,5
2,100,5
55,58,5
8,188,5
108,174,5
108,190,6
67,97,6
13,157,6
139,165,6
106,143,6
22,199,6
32,188,6
134,159,6
72,159,6
19,103,6
47,179,6
12,29,6
64,158,6
91,104,6
101,192,6
25,132,6
4,200,6
17,163,6
103,127,6
131,152,6
33,146,7
4,49,7
112,113,7
32,141,7
77,117,7
21,130,7
124,135,7
118,139,7
72,119,7
35,164,7
98,171,7
81,167,7
21,137,7
131,150,7
46,121,7
18,34,7
58,182,8
88,147,8
104,158,8
43,47,8
89,112,8
115,185,8
43,182,8
162,189,8
14,188,9
18,177,9
31,63,9
130,144,9
25,178,10
41,138,10
8,78,10
76,115,10
65,198,10
187,188,10
