Vertex1,Vertex2,Weight
1157,2,1
1589,3,5
555,4,1
1327,5,2
702,6,2
673,7,2
1529,8,5
1431,9,7
347,10,1
400,11,1
814,12,4
938,13,4
706,14,1
180,15,4
38,16,1
1369,17,4
150,18,1
256,19,1
1517,20,1
1540,21,4
1192,22,3
295,23,4
103,24,6
610,25,3
813,26,2
1264,27,1
423,28,2
1201,29,3
202,30,3
185,31,1
271,32,5
39,33,1
1316,34,2
385,35,2
1490,36,3
401,37,2
477,38,1
870,39,1
281,40,3
468,41,4
28,42,1
150,43,9
1152,44,2
282,45,3
194,46,2
232,47,3
1337,48,2
1062,49,1
1506,50,1
270,51,1
1083,52,6
133,53,5
794,54,3
1346,55,2
540,56,1
1280,57,3
62,58,2
1138,59,2
1394,60,1
617,61,3
263,62,2
876,63,2
446,64,3
519,65,2
1269,66,2
13,67,1
590,68,1
503,69,1
1297,70,4
1277,71,2
1200,72,2
854,73,1
1280,74,5
784,75,2
246,76,4
598,77,1
669,78,3
695,79,3
1219,80,1
1165,81,1
135,82,2
1095,83,2
1389,84,1
646,85,3
837,86,2
659,87,1
1586,88,1
931,89,1
1397,90,2
1180,91,5
330,92,1
115,93,4
337,94,3
356,95,1
1507,96,3
956,97,1
1178,98,2
1556,99,2
536,100,1
464,101,2
167,102,1
879,103,2
641,104,2
1114,105,3
1066,106,1
1204,107,2
931,108,3
677,109,3
852,110,2
333,111,1
178,112,1
458,113,2
1350,114,2
1077,115,2
236,116,2
252,117,2
1495,118,2
1103,119,1
695,120,3
1284,121,1
1329,122,3
660,123,1
1401,124,3
1250,125,2
1497,126,2
1152,127,1
417,128,2
804,129,3
1402,130,2
510,131,2
650,132,1
502,133,1
1319,134,1
1004,135,1
563,136,2
1206,137,1
239,138,4
279,139,3
1277,140,5
895,141,3
1514,142,4
895,143,1
469,144,3
391,145,1
736,146,2
802,147,2
1562,148,4
1148,149,4
1074,150,1
344,151,1
464,152,3
1252,153,3
1578,154,1
1121,155,2
903,156,1
41,157,1
748,158,1
234,159,1
1122,160,1
1024,161,1
61,162,2
1549,163,2
243,164,1
1076,165,5
1332,166,2
756,167,2
1004,168,1
671,169,2
1422,170,4
1315,171,3
1287,172,2
546,173,1
1229,174,3
432,175,2
1241,176,3
1188,177,1
1108,178,4
946,179,1
883,180,2
292,181,1
1031,182,3
505,183,2
1255,184,4
181,185,1
214,186,2
576,187,1
485,188,3
107,189,1
556,190,1
702,191,2
1595,192,1
385,193,2
1495,194,1
635,195,3
83,196,2
645,197,3
482,198,1
390,199,1
1563,200,1
1311,201,2
744,202,2
779,203,4
880,204,2
635,205,4
798,206,4
260,207,5
863,208,2
1371,209,2
868,210,2
1332,211,1
1125,212,1
711,213,4
749,214,1
1572,215,2
1557,216,3
1477,217,2
1445,218,1
704,219,3
1479,220,3
1038,221,1
430,222,2
1557,223,2
1363,224,1
466,225,1
704,226,3
11,227,3
691,228,2
441,229,3
108,230,4
1016,231,2
986,232,2
1477,233,1
193,234,1
513,235,1
38,236,2
1293,237,2
83,238,1
606,239,1
676,240,1
68,241,1
576,242,1
181,243,2
1519,244,2
965,245,1
907,246,1
1157,247,1
1476,248,1
1536,249,3
399,250,2
1019,251,1
783,252,1
927,253,1
928,254,6
143,255,6
240,256,1
150,257,3
848,258,2
1204,259,2
1255,260,1
749,261,5
1058,262,2
1352,263,2
266,264,2
552,265,2
1256,266,1
298,267,2
1491,268,1
1043,269,1
1443,270,2
388,271,2
446,272,3
522,273,1
637,274,4
421,275,2
244,276,3
416,277,2
1043,278,1
310,279,1
709,280,2
94,281,1
335,282,2
29,283,1
1510,284,2
286,285,3
262,286,1
1269,287,2
784,288,2
164,289,2
1223,290,1
550,291,1
1517,292,1
1029,293,2
797,294,4
654,295,1
191,296,2
469,297,2
1448,298,1
1161,299,4
1150,300,1
482,301,1
496,302,1
287,303,1
1125,304,2
1379,305,2
466,306,2
266,307,3
694,308,2
996,309,2
1098,310,1
885,311,2
968,312,2
812,313,5
1360,314,3
291,315,2
858,316,2
296,317,2
823,318,2
913,319,4
1336,320,2
1109,321,1
1349,322,1
304,323,2
199,324,1
601,325,2
934,326,3
1544,327,2
602,328,2
729,329,2
994,330,2
131,331,2
1399,332,1
854,333,2
377,334,1
597,335,2
1046,336,2
446,337,1
934,338,2
1525,339,2
94,340,2
580,341,3
111,342,1
1594,343,1
907,344,1
1199,345,1
449,346,3
1431,347,1
1435,348,2
316,349,2
4,350,2
1289,351,1
647,352,3
253,353,3
127,354,1
111,355,3
324,356,1
47,357,1
1013,358,1
702,359,3
444,360,1
628,361,3
955,362,2
251,363,3
805,364,2
1351,365,1
591,366,2
571,367,4
1507,368,1
1419,369,2
38,370,6
553,371,2
831,372,2
1357,373,3
445,374,3
1151,375,1
244,376,4
968,377,3
431,378,1
400,379,2
516,380,3
394,381,1
481,382,1
292,383,1
173,384,2
481,385,2
401,386,3
1457,387,2
582,388,2
1594,389,1
469,390,1
853,391,1
1147,392,4
226,393,1
600,394,1
688,395,1
1075,396,3
946,397,2
1547,398,1
379,399,1
1539,400,1
183,401,3
736,402,1
1502,403,2
616,404,2
1093,405,2
50,406,2
1048,407,1
1382,408,1
507,409,1
385,410,4
514,411,1
1126,412,2
806,413,1
1143,414,1
423,415,2
609,416,1
1571,417,1
1123,418,4
752,419,1
654,420,3
111,421,2
26,422,3
469,423,1
533,424,1
757,425,1
1519,426,2
1541,427,2
554,428,9
886,429,3
1448,430,2
1516,431,2
1251,432,1
562,433,2
1510,434,7
715,435,1
1026,436,2
1098,437,1
816,438,2
1379,439,1
129,440,3
424,441,3
1207,442,2
431,443,3
847,444,2
1122,445,3
172,446,1
808,447,3
1531,448,3
984,449,2
165,450,4
686,451,2
163,452,3
1559,453,3
1316,454,1
97,455,1
454,456,1
1080,457,1
518,458,2
214,459,2
262,460,2
1058,461,3
1426,462,2
805,463,3
1399,464,2
40,465,4
234,466,2
1360,467,2
1062,468,1
241,469,2
730,470,1
44,471,2
1083,472,2
1544,473,1
1052,474,2
130,475,3
1435,476,2
344,477,2
192,478,7
758,479,3
1278,480,2
147,481,2
1388,482,2
618,483,3
1382,484,2
693,485,2
1592,486,3
1509,487,1
339,488,1
775,489,1
644,490,2
1373,491,2
1524,492,2
232,493,1
1327,494,1
10,495,2
188,496,2
1049,497,2
1306,498,2
1061,499,3
564,500,6
106,501,1
1090,502,3
1003,503,2
660,504,5
524,505,1
401,506,3
1218,507,1
1060,508,2
1437,509,2
467,510,1
644,511,2
1410,512,3
531,513,2
549,514,1
282,515,5
1099,516,1
879,517,1
509,518,2
1592,519,3
1193,520,1
278,521,1
1100,522,3
60,523,2
1250,524,2
723,525,3
1337,526,2
166,527,2
557,528,4
1306,529,1
1026,530,3
1382,531,2
993,532,6
1188,533,1
58,534,5
177,535,1
350,536,1
751,537,3
229,538,1
742,539,6
1115,540,1
921,541,1
1256,542,3
211,543,5
1063,544,3
1173,545,1
296,546,1
338,547,2
20,548,3
1262,549,2
217,550,2
288,551,2
1395,552,2
1070,553,1
896,554,6
1143,555,1
546,556,3
1366,557,1
