Vertex1,Vertex2,Weight
410,2,2
198,3,1
272,4,1
335,5,3
559,6,1
62,7,3
209,8,3
327,9,2
420,10,3
559,11,2
543,12,4
522,13,3
502,14,2
186,15,2
168,16,2
2,17,2
87,18,1
508,19,4
682,20,1
478,21,1
500,22,2
295,23,2
590,24,1
185,25,3
365,26,2
39,27,1
466,28,2
264,29,4
334,30,3
717,31,3
390,32,2
706,33,5
615,34,2
69,35,3
90,36,1
290,37,1
193,38,1
714,39,2
335,40,2
199,41,1
486,42,2
469,43,1
201,44,2
290,45,1
711,46,2
147,47,3
135,48,1
530,49,1
722,50,1
188,51,1
417,52,6
507,53,1
717,54,1
79,55,1
778,56,4
594,57,2
136,58,2
1,59,1
432,60,3
262,61,2
53,62,2
799,63,1
543,64,2
192,65,2
793,66,3
68,67,2
371,68,1
182,69,1
301,70,2
419,71,2
740,72,1
421,73,5
133,74,1
235,75,1
212,76,3
410,77,6
504,78,6
186,79,1
489,80,2
85,81,4
360,82,2
347,83,3
110,84,1
455,85,2
410,86,1
39,87,2
597,88,4
53,89,2
235,90,3
639,91,1
380,92,2
772,93,1
654,94,1
465,95,4
558,96,3
324,97,1
575,98,3
233,99,1
315,100,3
509,101,6
142,102,1
84,103,2
679,104,1
714,105,1
40,106,2
174,107,2
728,108,1
742,109,4
766,110,1
787,111,4
469,112,1
268,113,1
85,114,2
486,115,1
759,116,2
683,117,1
750,118,3
196,119,3
612,120,7
57,121,2
208,122,3
726,123,1
683,124,1
169,125,3
291,126,1
185,127,1
200,128,1
105,129,2
417,130,1
631,131,1
343,132,1
641,133,1
613,134,3
356,135,2
759,136,2
667,137,2
373,138,2
478,139,1
549,140,1
699,141,3
41,142,2
328,143,2
774,144,1
273,145,1
103,146,3
167,147,2
241,148,1
453,149,2
334,150,1
182,151,3
757,152,2
50,153,1
195,154,3
296,155,2
102,156,1
623,157,2
413,158,7
28,159,1
753,160,2
152,161,3
631,162,2
623,163,1
504,164,8
791,165,4
7,166,2
341,167,2
113,168,1
267,169,1
307,170,3
246,171,2
606,172,2
350,173,2
155,174,3
743,175,1
452,176,3
654,177,3
490,178,6
218,179,2
469,180,1
740,181,1
450,182,1
476,183,1
728,184,2
597,185,1
135,186,1
144,187,3
122,188,2
57,189,1
128,190,3
788,191,2
637,192,2
791,193,1
188,194,4
235,195,3
133,196,1
229,197,2
314,198,2
554,199,2
45,200,2
107,201,1
734,202,2
733,203,3
431,204,3
69,205,1
